behavior,layer,accuracy,mse,conf_matrix,accuracies,losses,mses
"('jump', 'locomotion')","(12, 2)",52.5,0.9405676523844401,"[[20, 42], [15, 43]]","[52.5, 53.333333333333336, 53.333333333333336, 52.5, 50.0, 50.833333333333336, 51.666666666666664, 52.5, 52.5, 52.5, 52.5, 52.5]","[8.235024134318033, 8.610349814097086, 7.092370827992757, 6.252364158630371, 7.3946835199991865, 6.938525040944417, 6.514737129211426, 6.385697205861409, 6.001369794209798, 5.3820896943410235, 6.527201334635417, 5.560839414596558]","[0.9164629618326823, 0.9252604166666667, 0.9319812138875325, 0.9407950083414713, 0.9443286895751953, 0.9375670115152995, 0.9370545069376628, 0.9383975346883138, 0.9397846221923828, 0.9407912572224935, 0.9412594477335612, 0.9405676523844401]"
"('jump', 'locomotion')","(12, 10, 2)",59.166666666666664,0.5908647537231445,"[[15, 47], [2, 56]]","[59.166666666666664, 59.166666666666664, 59.166666666666664, 58.333333333333336, 59.166666666666664, 59.166666666666664, 59.166666666666664, 59.166666666666664, 59.166666666666664, 59.166666666666664, 59.166666666666664]","[2.186188062032064, 2.7148585319519043, 1.5287205278873444, 2.603821555773417, 2.2742458979288735, 1.832560618718465, 1.9208155870437622, 2.180657426516215, 1.5378191272417705, 2.04928727944692, 2.0849924087524414]","[0.7061794916788737, 0.6898827234903971, 0.6712928136189779, 0.6511802673339844, 0.6306334177652995, 0.6097663879394531, 0.6056015014648437, 0.6015790939331055, 0.5977834065755209, 0.5943943659464518, 0.5908647537231445]"
"('jump', 'locomotion')","(12, 4, 2)",45.0,0.9584221522013346,"[[52, 10], [56, 2]]","[49.166666666666664, 49.166666666666664, 48.333333333333336, 47.5, 47.5, 45.833333333333336, 45.833333333333336, 45.833333333333336, 45.0, 45.0, 45.0]","[7.485298315684001, 7.507054487864177, 6.55816666285197, 6.283764044443767, 6.796639283498128, 8.205763975779215, 5.001371065775554, 5.071298201878865, 5.013031641642253, 5.941137154897054, 5.373059272766113]","[0.9928813934326172, 1.0012780507405599, 1.0101797103881835, 1.01961669921875, 1.0253236134847006, 1.0105858484903971, 1.0029200871785482, 0.993710454305013, 0.9831287384033203, 0.9715712229410808, 0.9584221522013346]"
"('jump', 'locomotion')","(12, 6, 2)",51.666666666666664,0.9616355895996094,"[[62, 0], [58, 0]]","[51.666666666666664, 51.666666666666664, 51.666666666666664, 51.666666666666664, 51.666666666666664, 51.666666666666664, 51.666666666666664, 51.666666666666664, 51.666666666666664, 51.666666666666664, 51.666666666666664]","[17.539555231730144, 17.44195620218913, 15.222156524658203, 14.64696184794108, 13.694737275441488, 16.815685907999676, 15.66610050201416, 12.801764806111654, 16.29801146189372, 12.255529721577963, 13.13130251566569]","[0.9664312998453776, 0.9661946614583333, 0.9657620747884115, 0.9651198705037435, 0.9639395395914714, 0.9625007629394531, 0.9622936248779297, 0.9621189117431641, 0.9619571050008138, 0.9618112564086914, 0.9616355895996094]"
"('jump', 'locomotion')","(12, 8, 2)",42.5,0.9846506754557292,"[[40, 22], [47, 11]]","[50.0, 49.166666666666664, 48.333333333333336, 45.0, 43.333333333333336, 39.166666666666664, 38.333333333333336, 40.833333333333336, 41.666666666666664, 42.5, 42.5]","[8.638039271036783, 7.036023298899333, 5.379160165786743, 6.2931779225667315, 4.84336519241333, 3.762532393137614, 4.294615348180135, 3.657602310180664, 3.650671402613322, 4.005635897318522, 4.086421728134155]","[0.984054692586263, 0.9798783620198568, 0.9854796727498373, 1.0007071177164713, 1.0134565989176432, 1.0098455429077149, 1.006605339050293, 1.0022867838541667, 0.9973037719726563, 0.9914573669433594, 0.9846506754557292]"
"('jump', 'locomotion')","(12, 10, 4, 2)",48.333333333333336,0.6707823435465495,"[[0, 62], [0, 58]]","[48.333333333333336, 48.333333333333336, 48.333333333333336, 48.333333333333336, 48.333333333333336, 48.333333333333336, 48.333333333333336, 48.333333333333336, 48.333333333333336, 48.333333333333336, 48.333333333333336]","[2.1864258845647178, 2.0499041080474854, 1.736284613609314, 2.2594210704167685, 1.5279666582743328, 1.459921956062317, 1.3965675036112468, 1.2909757296244304, 1.4852087497711182, 1.4869245886802673, 1.3448445200920105]","[0.7362951914469401, 0.7195429484049479, 0.7074472427368164, 0.6983750025431316, 0.6912330627441406, 0.6784914016723633, 0.6766026814778646, 0.6751585642496745, 0.6733348210652669, 0.6717542012532552, 0.6707823435465495]"
"('jump', 'locomotion')","(12, 10, 8, 2)",47.5,0.9744192759195963,"[[56, 6], [57, 1]]","[50.0, 49.166666666666664, 49.166666666666664, 49.166666666666664, 49.166666666666664, 48.333333333333336, 48.333333333333336, 47.5, 47.5, 47.5, 47.5]","[6.3483780225118, 4.514412482579549, 4.387677431106567, 5.78818925221761, 3.959686517715454, 3.468327760696411, 2.9634362061818442, 4.2313807010650635, 3.263391653696696, 3.2910827000935874, 2.932615041732788]","[0.9836524963378906, 0.9843285878499349, 0.9843777338663737, 0.9836086908976237, 0.9817970275878907, 0.978619130452474, 0.9777913411458333, 0.9769819895426433, 0.9762355168660481, 0.975373649597168, 0.9744192759195963]"
"('jump', 'locomotion')","(12, 8, 6, 2)",51.666666666666664,0.7548636118570964,"[[61, 1], [57, 1]]","[51.666666666666664, 51.666666666666664, 51.666666666666664, 51.666666666666664, 51.666666666666664, 51.666666666666664, 51.666666666666664, 51.666666666666664, 51.666666666666664, 51.666666666666664, 51.666666666666664]","[2.204463164011637, 2.0127459367116294, 1.8175065914789836, 2.010819911956787, 1.7725515762964885, 1.7658868233362834, 1.5213080247243245, 1.6981568336486816, 1.533219615618388, 1.7802081902821858, 1.113040804862976]","[0.9010202407836914, 0.8804045995076497, 0.8595314025878906, 0.8380886077880859, 0.8138430277506511, 0.7864153544108073, 0.7805853525797526, 0.7743133544921875, 0.7681108474731445, 0.761374028523763, 0.7548636118570964]"
"('jump', 'locomotion')","(12, 10, 8, 6, 2)",51.666666666666664,0.5206139882405599,"[[62, 0], [58, 0]]","[51.666666666666664, 51.666666666666664, 51.666666666666664, 51.666666666666664, 51.666666666666664, 51.666666666666664, 51.666666666666664, 51.666666666666664, 51.666666666666664, 51.666666666666664, 51.666666666666664]","[1.2016708850860596, 1.1396110852559407, 0.9995688001314799, 0.977864146232605, 0.9133914510409037, 0.8781952659289042, 0.8513429959615072, 0.9224386811256409, 0.8284975290298462, 0.9576320250829061, 0.771872897942861]","[0.5678089141845704, 0.5509260813395183, 0.5381215413411459, 0.5294944127400716, 0.5256048202514648, 0.5224955240885417, 0.5220866203308105, 0.521707280476888, 0.5213567733764648, 0.5209813117980957, 0.5206139882405599]"
"('jump', 'locomotion')","(12, 8, 4, 2)",41.666666666666664,0.5924787521362305,"[[45, 17], [53, 5]]","[40.0, 39.166666666666664, 40.0, 40.833333333333336, 40.833333333333336, 42.5, 43.333333333333336, 43.333333333333336, 42.5, 42.5, 40.833333333333336, 40.833333333333336, 40.833333333333336, 41.666666666666664, 41.666666666666664, 41.666666666666664, 41.666666666666664]","[1.0839510758717854, 0.8776665131251017, 1.0336161653200786, 1.0258398056030273, 0.8954055905342102, 0.9292823076248169, 0.8277027805646261, 1.004822035630544, 0.8017807006835938, 0.9040306409200033, 0.8795249462127686, 0.8450618187586466, 0.8163202404975891, 0.8328946828842163, 0.8273058533668518, 0.7962392767270406, 0.8496808807055155]","[0.6721752166748047, 0.6646030426025391, 0.6581200917561849, 0.6511061350504558, 0.6441440582275391, 0.6370418548583985, 0.630461311340332, 0.6240059534708658, 0.61748046875, 0.6113145192464192, 0.6046449661254882, 0.5982053756713868, 0.5970011393229167, 0.5957509994506835, 0.5946295420328777, 0.5935435612996419, 0.5924787521362305]"
